EXP__FIELD,HMA__FIELD,LSI1__FIELD,NRAMP__FIELD,QHB__FIELD,RSS1__FIELD,SHR__FIELD,polyA__FIELD,X35S__FIELD
OS01G0124700,25.65774441,20.793198,17.40347893,10.40627055,32.82256585,14.07476772,37.44549672,60.4020345,85.75811852
OS01G0125600,12.57827213,7.670420546,7.670364293,6.988424871,25.74043789,5.955355839,6.619074342,7.795352212,2.582872753
OS01G0125700,5.396095083,4.306636886,11.4042161,10.13641176,5.073590503,4.601797275,3.466436987,6.570689793,6.398560794
OS01G0125800,12.32486854,11.86575072,26.67262729,29.23014429,54.24221677,11.19145477,11.87250765,17.619534,16.63489904
OS01G0125850,12.64221596,11.35390024,26.75903024,29.65897368,55.30118465,11.21621575,10.07403061,18.48038105,17.1171517
OS01G0125900,16.50798862,17.80035933,23.56732578,24.00651117,21.45024899,18.61549731,14.78376154,14.53965726,21.80512712
OS01G0126000,4.446793136,4.845760653,1.04958648,1.801313799,0.361119977,7.976586789,2.618699129,2.40660676,2.395376167
OS01G0126100,8.349633346,7.696988126,0.801321437,2.913241884,1.413409391,15.31635955,4.17926152,4.792194643,4.550381992
OS01G0126200,1.707572528,0.748213241,0.396532752,14.39188207,0.586258561,0.440409811,1.301160351,0.319925753,2.100103745
OS01G0126401,0.399269704,0.619573053,0.090333417,5.012469401,0.049556814,0.17000285,0.939027017,0.090070101,1.259735978
OS01G0126600,0.540871999,0.44129657,0.220752289,9.71859203,0.121104464,0.336452757,0.463892084,0.174882925,2.819217148
OS01G0126900,26.42815405,38.48623959,0.626835991,7.275013633,12.08592288,42.58110364,28.92544447,52.89330287,10.32080815
OS01G0127000,87.43040024,111.3577569,8.116644253,25.24151553,34.28190586,72.48002254,125.3619708,89.36289013,27.20920542
OS01G0127100,70.87655074,101.5369882,7.256297507,22.99263042,29.45376392,63.93618512,112.3622733,81.55723598,26.13836662
OS01G0127200,61.2833755,95.2731574,4.544692978,14.85697165,23.9207695,79.58703423,56.59226284,78.72640921,16.04606143
OS01G0127300,16.53428218,6.067007948,16.32094923,12.90907242,11.89522567,9.430751209,4.522948839,10.91393701,17.90671563
OS01G0127400,1.615490549,0.556550023,0.634796466,0.814889405,0.579051699,1.570619812,2.550097414,0.586968397,1.976877547
OS01G0127600,257.7283792,230.2524023,8.262081708,84.50650462,459.9774214,247.7703139,329.0234497,369.4378409,12.9436655
OS01G0127700,18.85556317,14.01392146,1.793815597,3.647127543,9.563151448,19.08882946,15.81874933,9.346306816,11.08729528
OS01G0127900,2.518783,1.203529161,2.897116329,1.971021459,3.716746578,1.807450759,3.651960193,2.314564137,2.175298731
OS01G0128000,3.36046287,7.039897225,0.894729817,5.436523185,27.06456677,2.651066507,1.449132525,1.391280834,8.311516435
OS01G0128100,0.274650196,2.623496943,0.296922832,0.861717937,2.890994997,1.746014894,0.662730833,1.552137256,1.807623353
OS01G0128200,5.537406019,8.774083871,0.945301726,2.116886933,10.7655118,10.5578072,4.944250555,6.932740333,9.172788587
OS01G0128250,3.928006167,1.952700926,0.430944996,1.053300697,2.855675853,4.232544429,3.330793869,2.400294872,4.459968411
OS01G0128300,33.83192457,44.10102271,11.65757972,28.60933398,46.42884155,34.22459034,31.89734222,30.40825846,21.97841345
OS01G0128400,112.04671,89.66558073,61.37110636,48.49510233,62.52043075,90.1774719,115.2607369,49.25500778,57.86093037
OS01G0128700,4.237659058,2.539998518,13.23889992,4.943429354,2.179216927,5.305403688,2.029629721,3.901626747,9.875823562
OS01G0128800,16.12562969,17.1035353,24.35841738,15.43606755,14.29188191,17.00436739,13.78147947,11.97540754,19.62875767
OS01G0129500,6.646869354,7.864634134,1.607812981,7.34709268,6.741793925,8.759891421,6.574439522,6.973601092,15.49280787
OS01G0129550,6.677317583,3.830787553,2.234232623,8.034039923,8.149914996,5.933508338,5.92447122,7.181646995,17.42468539
OS01G0129600,104.315074,118.9571281,168.8269224,109.8377671,102.771097,105.6086175,115.970498,63.7042259,73.42045596
OS01G0130000,86.81891262,83.54018214,338.4085237,44.87400419,39.88127337,69.05583969,86.5864707,52.44417054,37.9260588
OS01G0130100,111.4850145,110.937539,496.4461618,50.62751495,49.37547657,91.67605843,114.3961494,63.9670946,38.60675987
OS01G0130200,29.92636206,31.36322316,10.77283014,101.8706789,29.97473376,20.12962163,24.82016275,28.24970788,30.79153137
OS01G0130400,3.538716555,3.567640719,0.982368928,3.443261386,3.686068401,10.05905434,5.564774955,3.293833287,3.24240291
OS01G0130500,4.665085216,3.843438779,1.552483956,4.402854796,5.167394901,12.27207686,5.869281877,3.724415025,3.855832671
