RSS1__CON2,RSS1__SUB,RSS1__SUB+R,X35S__CON2,X35S__SUB,X35S__SUB+R,polyA__CON2,polyA__SUB,polyA__SUB+R
OS01G0133900,14.1196368,1.591554896,16.24869113,1.749014278,0.701512733,2.416013904,5.148406176,1.979266401,6.388583447
OS01G0134200,0.434177342,0.633687957,0.520094414,0.40974556,0.571623035,0.520348797,0.328690728,0.230893857,0.451352837
OS01G0134500,46.63735304,16.82594156,26.32493035,7.180961315,7.690118756,10.92352175,41.23539558,13.24365338,18.70315567
OS01G0134700,73.93270604,105.7729556,112.5620698,71.65431595,94.96442863,109.3789679,82.80424064,98.68078877,113.525952
OS01G0134800,0.923585137,0.573202464,0.713021201,0.447955533,0.721912447,0.318504024,1.412609013,0.276038719,0.502302344
OS01G0134850,1.02400825,0.496681866,0.388754408,0.404769192,0.622135559,0.389781148,0.979284291,0.214603269,0.378298381
OS01G0134900,43.58719432,2.596292802,32.33257515,20.49225679,1.518500777,13.230722,27.22078948,1.994028075,17.75574201
OS01G0135000,10.94900926,1.864534471,5.801952902,3.926326875,0.296107773,2.767478952,4.216075923,0.283156745,1.466007189
OS01G0135600,0.099449723,5.492176295,0.968688043,0.248142018,2.689578119,0.613778183,0.248084846,6.074077483,0.662170653
OS01G0135700,222.0742766,329.5214677,168.839151,232.0034483,345.0037999,334.5795661,186.0224553,330.9285532,286.9229431
OS01G0135800,1.344984608,0.586258873,0.240070677,0.445617335,2.286283731,0.524513778,0.346393013,1.236579289,0.319974953
OS01G0135900,19.51157841,37.94869718,25.01190601,119.3075435,101.1138009,109.116917,38.41205939,46.25994939,44.78116105
OS01G0136000,2.269079717,3.752526661,0.75883719,1.364125679,5.835786576,4.334916748,0.338364488,2.21112685,0.730703111
OS01G0136050,1.775534222,4.396181123,0.940510919,1.612888774,7.232936217,5.37274212,0.41937256,2.583413862,0.905641241
