CMZ__PLATE,QHB__PLATE,RSS1__PLATE,SCR__PLATE,SHR__PLATE,X35S__PLATE,polyA__PLATE
OS01G0135600,0.313398843,0.51358256,0.340025404,0.287025126,0.764868793,1.114444315,0.125189068
OS01G0135700,6.453721206,9.18977821,9.7801446,1.808058574,3.897542958,19.33203448,8.707142234
OS01G0135800,0.469484186,1.049762728,0.214522756,1.002855252,0.65867318,0.20159365,0.194962272
OS01G0135900,5.366965919,245.9508574,17.29172311,8.844996504,5.666135454,60.95002665,28.74945803
OS01G0136000,0.563660062,1.327184926,0.245682517,0.556681979,0.7907993,1.017925925,0.23641517
OS01G0136050,0.698606302,1.389785166,0.304501536,0.689957591,0.9801251,1.261628264,0.293015487
OS01G0136100,1.458613584,2.192453038,0.385584813,1.84080148,1.082471136,5.573124364,0.191956166
OS01G0136200,0.504445774,0.591966884,0.254697158,0.49820076,1.173156882,0.815795543,0.197386095
OS01G0136300,1.210302535,1.028138073,1.981570599,2.634103791,3.26127058,4.059491349,2.831652824
OS01G0136400,62.33566697,5.727922715,20.51067297,21.61516628,66.98729846,19.14850501,9.683080489
OS01G0136450,4.326450219,1.413306793,0.679857556,6.729836549,1.27303604,0.950860497,0.75958828
OS01G0136500,35.16136657,2.76614648,13.09636769,6.694200645,18.26459611,14.77798178,3.971075217
OS01G0136502,7.511574933,0.89839684,3.160735218,2.208957214,5.565146477,3.77372776,1.422875261
OS01G0136600,39.74780224,21.28333512,15.77254728,49.14783455,46.35922497,6.096874145,11.45796655
OS01G0136700,1.36220335,0.162467348,0.93650868,0.794073252,0.579295824,1.180948728,0.138959646
OS01G0136800,10.53601917,3.918095086,8.393478683,10.57187563,10.92100579,12.80240583,4.771074501
OS01G0136850,11.7924904,4.152430042,9.406642287,11.67996766,11.99443304,14.83156242,5.227328615
OS01G0136900,0.388216598,0.673517009,0.340107886,0.90287303,1.436429094,2.130305636,0.429803551
OS01G0137200,1.49062986,0.918043308,0.459069181,3.234498138,1.148716114,2.756890383,0.613218469
OS01G0137300,1.023542765,0.378816929,0.320017078,1.536047144,1.334594946,0.940680131,0.665134106
OS01G0137400,1.047905975,0.263834383,0.348212552,1.172081952,0.275185072,2.30488587,0.280627237
OS01G0137700,5.997760569,1.131678337,0.271239181,7.038215498,2.11717529,0.404099627,1.39857512
OS01G0138300,1.249642335,0.749129484,1.825428338,1.082073526,0.236852661,5.911582887,1.417345234
OS01G0138400,7.423776665,3.31123818,12.45451679,14.69592057,6.848429508,19.90219494,5.422014097
OS01G0138451,3.458447364,2.350890967,8.842857703,1.858311896,3.179363775,16.48348638,2.276815209
OS01G0138500,1.957810019,0.97988241,1.569398578,2.781121115,3.580003593,1.912328232,0.74975142
OS01G0138600,1.360029558,1.186713445,0.976116148,1.538424672,3.620809621,1.062725239,0.875502631
OS01G0138800,16.61465415,13.33100969,24.6558768,30.37949623,22.78738082,23.67472682,12.47502971
OS01G0138900,61.68436257,32.04848941,82.59644271,59.22414899,67.17723559,91.64569569,78.60971516
OS01G0139000,3.200370349,0.367657816,3.321670428,3.899103434,4.123295322,1.578946272,5.27936628
OS01G0139200,64.23335805,50.18630954,75.08062857,70.31090875,71.55565494,98.99097527,57.62449574
OS01G0139600,0.704781102,7.875042387,1.136138682,1.020548617,0.337909796,1.311207181,0.553751012
OS01G0139700,0.677398611,0.739852221,0.627552211,1.40344537,0.950371302,2.721028386,0.615977033
OS01G0139900,0.529070045,0.608382642,0.563170797,0.522520184,1.812523205,3.472061935,0.312021998
OS01G0140100,3.487236839,40.73228082,16.04671887,3.522505556,4.145387977,7.516181115,5.442262925
